COUNTRY,YEAR,RANGO_PROM
BO,1944,7.069850746268655
BR,1994,-5.057484276729559
UY,1997,5.734688691232528
BO,1955,8.658889367197585
BO,2002,8.193726201269278
AR,1969,13.377261578415803
UY,2002,5.970885657633843
BO,2007,8.088796477495102
BO,2011,7.6156715248393745
UY,1943,12.666164383561643
BO,1983,7.9182783882783925
BR,1983,-4.6864659270998414
BO,2005,7.920066636377398
AR,1990,9.358546199936915
BO,1918,7.8419354838709685
BR,2014,-5.817042682926829
UY,1955,12.21052631578947
UY,1974,12.093625118934348
BO,2000,7.409695583318678
AR,1927,10.730684931506845
AR,2015,9.135377120779436
BO,1958,7.71617900172117
AR,1923,9.988219178082185
BO,1963,5.84837191055317
AR,1945,10.012876712328769
BO,1992,7.5787554426705475
UY,2024,8.978160270880359
BR,2022,-5.274791252485089
AR,1952,11.927391874180877
AR,2001,8.696148527174673
BO,1939,8.351095890410955
BO,1972,4.013998884551033
BO,1997,7.384216972878399
AR,1971,13.477615933412576
BR,1977,-4.962428977272726
BO,1965,6.645462857142853
BO,2003,7.412538336640813
BO,1951,8.761276891047896
BO,1987,7.755510131532169
AR,1908,11.746280991735533
AR,1931,10.68931506849315
AR,1947,10.182191780821919
UY,1989,7.687579939414339
BO,2018,9.882541116934762
AR,1912,9.878415300546441
BR,1999,-5.030718436344427
BO,1914,8.33073463268366
BR,2006,-4.9694171348314615
UY,1967,11.362861072902337
BR,1996,-5.057236842105263
UY,2016,7.225809128630704
UY,1958,8.89450867052023
AR,1978,7.219970845481059
BR,2017,-5.503084599682467
AR,1948,9.678961748633883
UY,1939,12.847260273972598
BO,1956,7.963114301490878
BO,2010,8.13395120784502
AR,1939,9.911232876712328
AR,1955,13.34166666666667
BR,2005,-4.812515802781289
AR,1916,11.950546448087431
BR,2018,-5.246933397220892
AR,1913,10.221095890410956
BR,2024,-4.7432105263157895
UY,1978,8.867235494880545
UY,1993,6.567979173446143
BO,1948,8.630154142581896
BO,2004,7.576730945821854
BR,1984,-5.22915880799698
BO,1961,5.794177840508122
AR,1985,9.775295523973968
BO,1973,8.11914362176628
AR,2004,8.717854849068724
UY,1986,10.08323840520748
AR,1934,10.616986301369863
BO,1936,8.646994535519125
AR,2017,8.889636907304576
BO,1985,7.370233992381646
BR,1989,-4.573889421540427
AR,1915,10.548493150684939
AR,1942,10.391780821917813
AR,1994,8.83606768966012
UY,1932,11.21333333333333
BO,1968,6.985888538380648
UY,1960,12.503309352517984
UY,1966,11.568194842406871
UY,1987,6.800691171850456
UY,2005,5.665290880503145
AR,1925,10.591232876712322
AR,1974,7.406071964017993
AR,2011,9.078973390866599
UY,1941,11.99794520547945
UY,1954,11.681571428571427
BO,2012,7.292545563190916
AR,1957,11.233828571428555
AR,1995,9.502383180934554
AR,2010,8.811921606118547
BO,1909,7.659392265193361
AR,1963,9.167585365853677
UY,1938,13.10479452054794
UY,1961,11.848095909732013
BO,1960,4.310095429432442
BO,1981,7.8611656294877905
BR,1998,-4.593895870736087
AR,1967,11.640547464940672
UY,2004,6.258703766542249
AR,1919,9.780273972602737
AR,1962,10.242453972868201
UY,2003,6.431231999999999
BO,1967,6.990794809407945
BO,1974,7.388804863582442
UY,2015,7.916666666666668
AR,1946,9.235616438356159
BO,1924,8.308060109289613
BO,2023,9.89001916042501
UY,1965,12.186666666666664
UY,1990,6.79160606060606
UY,2009,3.283201581027669
BO,1922,7.243209876543212
UY,1956,13.168169398907095
BO,1975,7.692283314847095
AR,1973,7.758456201214214
AR,1979,8.707242520138083
BR,1974,-5.134386422976501
UY,1975,11.89113796576032
AR,1960,8.529465555781334
AR,1993,8.661484901788349
BO,1938,8.790684931506851
BO,1953,8.64730662983425
BO,1979,8.223792330677291
BO,2020,9.311384142829711
UY,1988,7.396854356715948
UY,2023,9.260176991150443
AR,1953,12.637773549000972
BO,1988,7.276625908204861
AR,1937,10.190958904109577
AR,1956,13.213598781549173
AR,1997,8.999055118110233
BR,2016,-5.752869785082173
AR,1970,13.555404417142023
UY,1934,13.6246290801187
UY,1976,9.943559928443642
BR,2001,-5.1765581791108275
AR,2022,8.012793400824892
UY,1948,11.59303278688525
BO,2014,9.809482491478157
AR,1917,10.343287671232876
AR,1940,9.040983606557377
BR,2019,-4.9834301591310926
UY,1980,9.04606147934678
AR,1949,10.308219178082183
AR,1961,9.180522713130069
AR,2002,8.869042913608144
BR,2007,-5.5003914590747325
AR,2018,9.015999648938038
BO,2022,9.546194042849686
BR,1987,-4.991559322033896
BO,2025,10.4618022705771
BR,2004,-4.674683544303795
BR,2025,-4.5700900900900905
UY,2025,10.099834574028122
BR,2021,-4.880714285714286
UY,1945,13.26506849315069
UY,1963,10.455475504322768
UY,1984,7.425631380977971
BO,1910,6.164473684210527
AR,1935,11.210684931506846
AR,1968,10.415927342256213
UY,1964,12.727180232558139
UY,1992,7.001184256356668
BO,1980,7.306973365617434
AR,1914,9.04219178082192
BO,1986,7.801419950301749
BO,1994,7.485064813075336
UY,2001,6.0678036605657235
AR,1924,11.791803278688523
AR,1992,8.352734785875281
UY,1970,11.826861451460886
BO,2017,8.975784937410223
BO,1933,7.745054945054937
UY,2020,13.106537530266344
BO,1932,8.500273224043715
AR,1911,10.007123287671241
BO,1978,7.6134783636793575
UY,1951,12.161516853932584
BO,2013,7.858447720725302
AR,1930,10.155068493150686
AR,1977,7.210619018529823
BR,1976,-5.686034079518877
UY,1973,11.117853839037927
UY,1995,7.207905642333437
BO,1930,8.252602739726024
BO,1998,6.974897426333458
BO,1976,8.12094745667971
AR,1941,9.62630136986301
BO,1915,9.885197368421055
BO,1908,7.384426229508202
UY,1942,13.047183098591551
UY,1952,11.748743016759772
AR,1926,10.03561643835617
AR,1951,13.456690500510726
UY,1991,6.5733060195398645
UY,2010,5.486239443616493
AR,2014,8.777011080082874
AR,1984,7.773124948317214
BR,2012,-5.16725165562914
UY,1933,13.035522388059704
BR,1982,-4.800400492914355
BO,1945,7.622478991596643
AR,2008,9.484922693784378
AR,1972,12.693287237107432
UY,1937,14.029986244841817
BO,1937,8.569799999999999
UY,2006,5.800543478260871
AR,1991,8.737873223694695
BO,1928,7.944945355191263
BO,1935,8.889300411522633
BO,1990,7.136489607390302
BO,1993,7.111296922255826
UY,1977,9.502747710241463
BR,1980,-5.280086187344067
UY,1931,11.4958904109589
UY,2007,4.43453853472883
AR,1975,7.202877774238086
BR,2000,-4.98295721673719
AR,1966,10.82866779089375
BR,1979,-4.229179890821371
BR,1990,-4.796832753959059
AR,1922,9.69013698630136
BO,1923,7.686140089418774
UY,2022,13.088607594936706
BO,2016,9.36723095525998
AR,2003,9.42394092768495
AR,2020,7.84125292828535
BO,2015,10.077873900293254
AR,2021,7.844334392785863
BR,1975,-5.307065997130559
BO,1941,6.085555555555552
BO,1947,9.129538461538466
BO,1962,4.897714514835605
AR,1910,11.322191780821921
AR,1921,10.671232876712342
BR,1993,-5.1820849636668544
UY,2013,6.625604952166569
BO,1925,8.216027397260277
UY,1946,12.04175977653631
UY,1949,11.735524475524475
UY,1968,10.077969348659003
UY,1983,7.158770989639157
BO,1911,8.409006211180127
UY,1936,11.919398907103826
UY,1959,10.52534246575342
AR,1964,10.133187878787881
UY,1985,10.848445595854919
BO,1982,7.607381435689248
AR,1933,10.594520547945196
AR,1959,13.043086003372686
AR,1987,8.597771380815297
BO,1926,8.1941095890411
AR,2024,7.557494135727576
BR,1985,-4.671113035946298
UY,1962,13.10430769230769
BO,1954,8.25207774798928
BR,1986,-4.271788413098236
AR,1980,8.926916308861824
UY,2014,7.61030150753769
UY,1950,11.659243697478992
AR,1958,9.900555275113584
BO,2006,8.168919567827128
BO,1946,8.716686114352397
BO,1959,5.6509283819628635
BO,1927,8.16273972602739
AR,2005,8.645967206899819
BO,1952,8.600812457684494
BO,1991,7.103925729442971
BO,1995,7.803605683836593
BR,1991,-4.930942004693262
AR,1976,7.283639782699516
UY,1981,8.380849450132727
BO,1931,8.35753424657534
BO,1984,7.436034632034632
BO,2009,7.776718243972654
UY,1996,6.832772277227725
UY,2011,6.789823245848955
UY,2012,5.832711370262391
AR,1920,11.163387978142078
BO,1970,7.427886892324833
BO,1996,7.94133197763091
BR,2008,-5.286436090225563
AR,1996,9.25499042349436
BR,2002,-4.528890229191798
BR,1988,-4.8980474617002105
BR,2023,-4.776675603217159
BO,1917,9.904152823920267
AR,1929,11.42849315068492
AR,1932,10.448907103825137
AR,1986,9.717885150518569
AR,2023,7.93837448559671
BR,2010,-5.535497835497837
BR,2011,-5.015465782333433
BO,1916,7.924821683309569
BO,1896,8.944370860927146
UY,2018,11.432439024390245
BR,1978,-4.6387608069164274
BR,1981,-5.007902001380264
UY,1944,12.529234972677598
BO,1999,7.731314055636906
AR,1965,10.031127690802364
UY,1979,9.503930968360496
UY,2017,12.00597204574333
UY,1953,11.866298342541432
BO,1934,8.156521739130428
AR,1982,9.002375611745503
AR,2007,8.955547978567948
BO,1949,8.821906354515047
BO,2008,7.394257104991899
BO,2001,7.5236894977169
AR,2025,7.643035121025155
BO,1977,6.775011296882059
BR,2013,-5.558216916433833
AR,1936,9.791256830601101
AR,2000,9.131448642749968
AR,2013,9.602851999241997
BR,1992,-4.9084927536231895
BR,1995,-5.101220727453913
UY,1972,11.14557315936626
BO,1913,7.783561643835614
AR,1999,9.363146019882963
UY,1957,9.546642335766421
AR,1938,10.38849315068494
AR,1988,9.132044239361313
AR,1998,9.442490896930968
BR,2015,-6.297708674304418
AR,1928,10.331967213114757
AR,1950,12.568219178082199
AR,1989,9.535692942515647
AR,1954,13.012237442922377
UY,1947,12.812465753424666
AR,2006,9.390879539333154
BO,2024,9.783174386920981
BO,1912,7.331147540983612
BO,2019,10.035175879396983
BR,2003,-4.780367921816613
UY,1935,13.785616438356161
UY,2019,11.943980343980346
BR,1973,-4.8371743486973955
BO,1957,8.362194537613798
BO,2021,9.893038717246775
AR,1944,9.643442622950813
AR,1909,10.935068493150686
BR,1997,-4.976965477226575
BO,1969,7.9548790896159325
BR,2020,-5.327259148618372
UY,1940,11.65382513661202
UY,1969,12.459315068493146
BO,1929,9.191988555078682
UY,1994,6.866964560862866
BO,1966,7.0637263339070655
AR,2016,8.726467359175745
BO,1964,7.044870565675934
BO,1989,7.258366972477063
AR,1981,8.739710856157561
AR,2019,8.993048614266238
UY,1971,12.119135234590617
UY,1982,8.986070806732444
AR,1918,10.07917808219178
BO,1950,8.41233576642337
BR,2009,-5.165556865055979
BO,1971,6.845710928319624
AR,2012,8.906581204297188
BO,1907,8.267397260273963
UY,1999,8.229820051413881
AR,1943,9.977808219178089
AR,1983,8.60611636742903
AR,2009,9.452771592640335
BO,1940,8.903005464480874
UY,2021,12.285867237687368
CO,1967,-2.1443013829279924
CO,1998,0.4842800122812376
CO,1999,-0.5533695031410608
CO,2015,-2.7941271769947367
CO,1987,2.556080206985771
CO,1963,5.053271692745374
CO,1996,-0.24515291402192635
CO,2000,-2.389046034387134
CO,1964,2.3641798941798933
CO,2007,-2.277376654632972
CO,1965,1.438706683168317
CO,1990,-0.13797986154814368
CO,2020,-3.4104071013161925
CO,2001,-2.31045490822027
CO,2024,-2.947414997671169
CO,2003,-1.2631959735765963
CO,1995,-0.05908675799087127
CO,2005,-2.21929203539823
CO,2010,-2.9774231127679407
CO,1983,0.6479851783233007
CO,1994,-0.2110161733292652
CO,1979,-0.9601028806584342
CO,1966,-1.9519759126834775
CO,2023,-2.8057729562185196
CO,1993,-1.071746478873238
CO,2004,-1.737742980561555
CO,1986,1.3816043679126435
CO,2022,-2.629052909056673
CO,1962,3.0678761061946926
CO,2006,-2.0061692126909514
CO,2002,-1.8523453608247424
CO,1977,-1.9976985040276163
CO,2017,-3.869030262867239
CO,1970,-3.884
CO,2018,-3.662084717607973
CO,1989,0.5443482026851443
CO,1988,-0.058921623123958496
CO,1981,-1.179706275033379
CO,1980,-0.829036087369421
CO,2016,-3.9775160599571735
CO,2021,-2.964640883977901
CO,1991,-0.5054158034921565
CO,1985,0.5224979983987206
CO,1968,-2.555981595092025
CO,1969,-3.7406629834254153
CO,2013,-2.338014477766287
CO,1992,0.7034883720930231
