STATION,LATITUDE,LONGITUDE,extreme_days
COM00080144,5.691,-76.641,313.0
COM00080234,4.168,-73.614,132.0
COM00080084,7.812,-76.716,115.0
ARM00087178,-27.386,-55.971,112.0
COM00080091,7.024,-73.807,102.0
ECM00084050,0.017,-79.367,99.0
PEM00084658,-12.614,-69.229,89.0
VE000005484,6.167,-67.5,75.0
UYM00086350,-30.975,-55.476,74.0
PE000084377,-3.783,-73.3,73.0
BRM00082098,0.051,-51.072,70.0
ARM00087162,-26.213,-58.228,67.0
BR002554002,-25.733,-54.467,66.0
UY000086330,-30.4,-56.52,66.0
BRM00083827,-25.596,-54.487,63.0
AR000087155,-27.45,-59.05,60.0
UY000086360,-31.433,-57.967,60.0
GYW00010502,6.498553,-58.254119,58.0
AR000000011,-30.267,-57.65,57.0
UY000001709,-32.35,-54.183,56.0
ARM00087289,-29.689,-57.152,54.0
COM00080398,-4.193,-69.943,52.0
BRM00082562,-5.369,-49.138,50.0
BR000352000,-3.2,-52.2,50.0
UY000086490,-33.25,-58.067,48.0
ARM00087497,-33.01,-58.613,48.0
ARM00087395,-31.297,-57.997,45.0
ARM00087166,-27.446,-58.762,45.0
GYM00081001,6.8,-58.15,44.0
BR037041370,-5.05,-42.817,43.0
ARM00087121,-26.841,-65.105,41.0
COM00080099,7.069,-70.737,41.0
BR000047002,-0.617,-47.383,41.0
COM00080002,13.357,-81.358,41.0
BR000082400,-3.85,-32.417,40.0
COM00080214,4.422,-75.133,40.0
ECM00084179,-1.5,-77.9,40.0
CO000080001,12.583,-81.717,39.0
COM00080210,4.813,-75.74,39.0
COM00080110,6.22,-75.591,39.0
UY000002206,-33.35,-56.5,39.0
AR000087270,-29.183,-59.7,38.0
UY000086565,-34.483,-54.3,38.0
EC000000006,-1.1,-79.467,37.0
UYM00086580,-34.838,-56.031,36.0
UY000001915,-32.8,-56.517,36.0
COM00080022,10.442,-75.513,35.0
AR000087374,-31.783,-60.483,34.0
ARM00087480,-32.904,-60.785,34.0
BRM00082193,-1.379,-48.476,33.0
ARM00087016,-23.153,-64.329,33.0
ARM00087148,-26.733,-60.483,33.0
ECM00084132,-0.917,-75.417,33.0
BRM00082336,-3.127,-58.481,33.0
BRM00082533,-5.811,-61.278,32.0
AR000875850,-34.583,-58.483,31.0
ARM00087576,-34.822,-58.536,31.0
ARM00087548,-34.546,-60.931,31.0
ARM00087022,-22.62,-63.794,31.0
BR000956000,-9.867,-56.1,31.0
AR000087534,-34.133,-63.367,29.0
UYM00086560,-34.456,-57.771,29.0
ARM00087467,-32.684,-62.158,29.0
BR038983570,-9.517,-35.783,28.0
ARM00087645,-37.237,-59.228,28.0
ARM00087648,-36.35,-57.733,28.0
ARM00087046,-24.393,-65.098,26.0
PEM00084425,-5.894,-76.118,26.0
COM00080211,4.453,-75.766,26.0
ARM00087453,-33.085,-64.261,25.0
UYM00086500,-33.217,-54.383,25.0
ARM00087641,-36.833,-59.883,25.0
AR000087129,-27.767,-64.3,24.0
COM00080036,10.435,-73.25,24.0
AR000087257,-29.883,-61.95,23.0
ARM00087582,-34.559,-58.416,23.0
ARM00087593,-34.972,-57.895,23.0
COM00080315,2.95,-75.294,22.0
COM00080063,8.824,-75.826,22.0
AR000087692,-37.933,-57.583,21.0
CO000080222,4.701,-74.15,21.0
BRM00082361,-3.786,-49.72,21.0
ARM00087643,-36.883,-60.217,21.0
AR000870470,-24.85,-65.483,20.0
UY000086430,-32.333,-58.033,20.0
BRM00083208,-12.694,-60.098,20.0
AR000087623,-36.567,-64.266,19.0
AR000087344,-31.317,-64.217,19.0
PEM00084370,-3.553,-80.381,19.0
PEM00084515,-8.378,-74.574,18.0
ARM00087436,-33.273,-66.356,18.0
UY000001405,-31.7,-55.983,18.0
COM00080094,7.127,-73.185,17.0
ARM00087532,-35.696,-63.758,17.0
COM00080035,11.526,-72.926,17.0
BRM00083746,-22.809,-43.244,16.0
ARM00087222,-28.596,-65.752,16.0
COM00080112,6.165,-75.423,16.0
BR057324290,-16.717,-43.867,16.0
BRM00083698,-21.698,-41.302,16.0
COM00080028,10.89,-74.781,15.0
COM00080009,11.12,-74.231,15.0
AR000877500,-38.733,-62.167,14.0
BRM00083566,-19.833,-43.917,14.0
AR000087078,-24.7,-60.583,13.0
PEM00084534,-9.133,-75.95,13.0
ARM00087244,-29.9,-63.683,13.0
ARM00087448,-33.73,-65.387,12.0
ARM00087640,-36.2,-61.067,12.0
BR000082861,-8.25,-49.28,12.0
ARM00087345,-31.4,-64.183,12.0
AR000087715,-38.95,-68.133,11.0
AR000087217,-29.383,-66.817,11.0
ARM00087765,-41.151,-71.158,11.0
ARM00087349,-31.667,-63.883,11.0
ARM00087320,-30.367,-66.283,11.0
BRM00083587,-19.634,-43.969,11.0
CO000080259,3.55,-76.383,10.0
ARM00087509,-34.588,-68.403,10.0
ARM00087596,-35.367,-57.283,10.0
BR039402250,-7.1,-34.867,9.0
BR047635180,-13.267,-43.417,9.0
AR000875440,-35.867,-61.9,9.0
BR002143012,-21.767,-43.35,9.0
ARM00087688,-38.387,-60.33,9.0
ARM00087679,-37.6,-62.383,9.0
ARM00087791,-40.869,-63.0,8.0
PEM00084472,-7.139,-78.489,8.0
BRM00083967,-29.946,-51.144,8.0
AR000087860,-45.783,-67.5,7.0
AR000087828,-43.2,-65.266,7.0
PEM00084401,-5.206,-80.616,7.0
CO000080342,1.417,-77.267,7.0
VE000080413,10.25,-67.65,7.0
ARM00087328,-31.945,-65.146,7.0
PEM00084686,-13.536,-71.939,6.0
PEM00084735,-15.467,-70.158,6.0
COM00080097,7.928,-72.512,6.0
BRM00083344,-14.863,-40.863,6.0
BR038484280,-7.217,-35.883,5.0
ARM00087311,-31.571,-68.418,5.0
PEM00084673,-13.155,-74.204,5.0
VEM00080440,8.62,-70.221,5.0
BOM00033008,52.1167,23.6831,4.0
PEM00084452,-6.787,-79.828,4.0
ARM00087506,-35.494,-69.574,4.0
PEM00084390,-4.577,-81.254,4.0
ARM00087416,-33.083,-68.417,4.0
VEM00080428,9.027,-69.755,4.0
VEM00080427,9.553,-69.238,4.0
VEM00080448,7.211,-70.756,4.0
ARM00087800,-41.943,-71.532,4.0
ARM00087563,-36.067,-59.1,4.0
AR000087418,-32.833,-68.783,3.0
PEM00084691,-13.745,-76.22,3.0
PE000084752,-16.332,-71.567,3.0
UY000001856,-32.683,-57.633,3.0
BR002548005,-25.517,-48.517,3.0
BR000082704,-7.633,-72.667,3.0
AR000087925,-51.617,-69.283,2.0
BOM00026853,53.833,28.983,2.0
VE000080438,8.6,-71.183,2.0
ARM00087784,-40.783,-65.1,2.0
VEM00080403,11.415,-69.681,2.0
VEM00080447,7.841,-72.44,2.0
BR002549075,-25.417,-49.267,2.0
VEM00080472,10.15,-67.928,2.0
COM00080370,0.862,-77.672,2.0
VEM00080420,10.45,-64.13,2.0
ARM00087896,-47.735,-65.904,2.0
PEM00084542,-9.347,-77.598,2.0
ECM00084008,-0.917,-89.617,2.0
ARM00087550,-35.45,-60.883,2.0
ARM00087420,-32.883,-68.85,2.0
BOM00033038,52.25,29.8331,1.0
BOM00026850,53.87,27.53,1.0
AR000087007,-22.1,-65.6,1.0
BOM00026653,55.467,28.767,1.0
BOM00026706,54.38,21.3,1.0
AR000087803,-42.933,-71.15,1.0
BOM00033041,52.4,30.95,1.0
PEM00084501,-8.081,-79.109,1.0
BOM00026643,55.367,27.467,1.0
VEM00080410,10.043,-69.359,1.0
BR002351003,-23.333,-51.133,1.0
VE000080425,9.817,-70.933,1.0
ARM00087909,-49.307,-67.803,1.0
VE000002417,9.917,-67.333,1.0
AR000087065,-24.167,-62.9,1.0
PEM00084564,-9.879,-76.205,1.0
PEM00084474,-7.169,-76.729,1.0
VEM00080426,9.34,-70.584,1.0
PE000084444,-6.2,-77.85,1.0
ARM00087904,-50.267,-72.05,1.0
ECM00084270,-4.033,-79.2,1.0
ECM00084135,-1.033,-80.45,1.0
VEM00080437,8.633,-71.65,1.0
ARM00087823,-42.733,-65.067,1.0
