STATION,LATITUDE,LONGITUDE,trend
BR037596360,-7.83,-40.33,-0.02099225337505749
BR038271310,-6.05,-36.35,4.5220618758088553E-4
BR001443000,-14.79,-43.55,0.0047955161705083935
BR002347054,-23.03,-47.82,-0.0043497983870967715
BR027981080,-4.57,-40.97,0.15318444607299672
BR002142014,-21.88,-42.64,-0.009689175531459305
BR047194340,-10.7,-40.33,-0.013279001414340887
BR000544006,-5.42,-44.93,0.008786491311906387
VE000005911,6.75,-61.17,0.016216249971215957
BR002043008,-20.35,-43.28,0.023039439167797392
BR038509170,-7.95,-39.92,-0.0059568285595682875
BR000839031,-8.62,-39.24,-0.010072531131343805
BR037593210,-7.65,-40.4,0.01618394393330455
AR000000002,-29.82,-57.42,0.09450537277057718
BR036181260,-5.58,-45.88,0.00618127610071437
BR057309830,-16.98,-44.6,-0.24772032673668293
BR002549004,-25.45,-49.07,1.1415525114157887E-4
BR002242025,-22.35,-42.57,0.011455667620051183
BR002955013,-29.78,-55.77,0.20572139303482592
BR002052006,-20.09,-52.16,0.018840048840048845
BR000835139,-8.84,-35.45,-0.20070101105528598
BR038706340,-8.8,-39.83,0.003241012147038844
BR001940002,-19.96,-40.15,-0.008985776895446176
BR028824150,-4.22,-38.93,-0.003308612694631157
BR002242007,-22.46,-42.31,0.005660643567832489
UY000001613,-32.16,-55.02,0.00196129431179805
BR002750011,-27.48,-50.38,0.03898016762094433
BR001951000,-19.1,-51.15,0.021936790850207583
BR048022040,-10.1,-38.98,0.006209323731658454
BR028905410,-4.75,-39.8,-0.013117387356580204
BR047051610,-10.04,-42.21,0.018756799339760658
BR037061070,-5.05,-41.97,0.08190599010422148
BR000846005,-8.79,-46.12,0.06460183259947815
BR000536036,-5.26,-36.72,0.11309183273165425
BR047468480,-12.42,-41.77,0.03740065451145395
UY000001961,-32.89,-56.61,-0.1082516339869281
BR039501020,-7.57,-35.0,-0.20409891478384637
BR003055008,-30.29,-55.98,0.23370395231292643
BR038367150,-6.87,-36.93,7.866372001323923E-4
ARM00087222,-28.596,-65.752,0.002648841451138415
BR002043009,-20.36,-43.14,0.0023810571278617973
BR002649005,-26.9,-49.217,-0.009824803650821631
BR001949004,-19.54,-49.48,-0.002493252245374768
BR038100780,-5.52,-39.62,3.9536832773381773E-4
BR038431660,-7.08,-38.18,-0.007773492027846397
BR002243005,-22.22,-43.7,0.009319969275862228
VEM00080472,10.15,-67.928,0.092012012012012
BR001749001,-17.11,-49.69,0.03642281625293796
BR002250005,-22.08,-50.55,0.008824490134924538
BR001649001,-16.91,-49.45,0.001063288563288548
BR000658000,-6.8,-59.05,0.004228396897237641
BR002849023,-28.37,-49.8,0.04358734151224271
AR000000003,-29.98,-58.28,-0.0564725809653772
BR037899660,-9.48,-40.21,-0.00427218973396614
BR038566670,-7.8,-36.67,0.004533752860411899
BR038890550,-9.02,-35.23,0.06946077365497189
BR038191560,-5.55,-35.23,-0.0027723418134377063
BR001641000,-16.6,-41.77,0.017824335407922037
BR047408790,-12.44,-44.62,0.06343198286671771
BR001245015,-12.77,-45.94,0.049563831811263316
BR002554000,-25.55,-54.58,0.03633485540334854
BR038144330,-5.73,-37.85,0.4349211396938397
BR057314770,-16.7,-44.12,0.4207136949072433
BR036467780,-7.38,-46.62,0.4387729756582216
BR002245011,-22.69,-45.74,-0.003824104047765006
ARM00087416,-33.083,-68.417,0.0027768727229643677
BR038264650,-6.22,-36.68,-0.00582416192283365
BR002352000,-23.32,-52.67,0.0075298543419963955
BR038177450,-5.87,-36.28,-0.0012448383462167003
BR000747000,-7.317,-47.467,-0.03440510706210933
BR002243019,-22.08,-43.83,-0.007600831636520174
BR048522060,-12.63,-38.98,0.008155981767310565
BR047892540,-14.13,-40.25,-0.01940497737556561
BR002043022,-20.22,-43.57,0.1731025641025641
BR002247182,-22.15,-47.89,0.10112894352024786
BR048067410,-10.35,-36.8,-0.014383112444387152
BR002346096,-23.17,-46.38,0.03989120900885608
BR048033730,-10.19,-38.14,0.010800685571032064
BR048541010,-12.54,-38.01,-0.08140536609883117
BR001556005,-15.21,-56.37,0.06483393470906479
BR047168840,-10.9,-41.58,-0.0130510333948152
BR037923680,-9.67,-43.65,-0.04309866962305987
VE000001893,10.98,-63.87,0.009129439361365262
BR046091270,-10.05,-45.37,-0.022349776119823826
BR001360000,-13.11,-60.55,0.047009325525916267
BR001942032,-19.19,-42.42,0.0036072079104866157
BR002355001,-23.26,-55.53,0.09269870341298914
BR048915060,-14.0,-39.48,-0.1729071537290715
BR058201820,-16.07,-39.6,0.18461282402750082
UY000002053,-33.04,-57.26,-0.1731380708493385
BR039405220,-7.27,-34.9,0.2896336976806184
BR048157710,-10.85,-37.15,0.5989619118087486
BRM00083704,-22.317,-53.933,-7.958333333333333
ARM00087765,-41.151,-71.158,-0.02847222222222222
BR001941004,-19.34,-41.25,-7.445523561111218E-5
BR037597890,-7.9,-40.05,-9.600430466641559E-4
BR027793280,-3.67,-40.37,-0.0029068186691544665
PEM00084564,-9.879,-76.205,0.004710960834741574
BR047114950,-10.72,-44.03,-0.002447265703133484
BR002750008,-27.54,-50.86,0.041587728839384455
BR001846016,-18.03,-46.42,0.011060581304576725
BR002347055,-23.11,-47.18,0.014535844392401773
BR002951027,-29.37,-51.37,-0.004780349551251766
BR000082861,-8.25,-49.28,0.036538461538461534
BR002749010,-27.93,-49.12,0.014355662460048102
BR002453000,-24.17,-53.73,0.01920208395316325
BR000345000,-3.77,-45.22,0.0015748509609571197
BR001943053,-19.93,-43.93,0.03545521458910181
BR047497950,-12.36,-40.04,0.002464041095890409
VE000001721,10.98,-64.17,-0.006581196581196582
BR048037330,-10.41,-38.33,0.0475083954297069
BR000949000,-9.62,-49.15,-0.007670831157353485
BR047471110,-12.05,-41.45,-0.0370646295231551
UY000001047,-30.45,-56.77,0.03183171882691237
BR047767940,-13.76,-41.54,-0.01725288687697236
BR002047102,-20.77,-47.24,-0.13476465557279577
BR000543002,-5.48,-43.36,0.056062269026647016
BR001857001,-18.04,-57.49,7.113422291993715E-4
BR001757002,-17.23,-57.78,0.02988587096738008
BR001259001,-12.03,-59.65,0.1563509059329728
BR001940011,-19.02,-40.57,0.31762506899493204
BR058213410,-16.15,-39.3,-0.14078483464784836
BR036256230,-6.33,-47.4,0.409612518628912
BR001944010,-19.27,-44.4,0.0019144403784345147
BR002349066,-23.02,-49.9,0.010441012699368618
BR002143020,-21.59,-43.51,-0.003695006160759583
BR048519530,-12.98,-39.25,8.234789056706937E-4
UY000001224,-31.21,-55.36,-1.835993061212436E-4
BR038117890,-5.88,-39.07,-0.0010812745617109461
BR003153006,-31.13,-53.05,-0.01894525962423519
BR002247184,-22.34,-47.92,0.13907238004591502
BR038977720,-9.87,-36.15,-0.057555286471814945
BR002044043,-20.0,-44.46,0.03879750230805699
BR057313970,-16.65,-44.02,-0.07456664342193912
BR038514350,-7.72,-39.33,-0.011762584297953708
BR028849440,-4.45,-37.78,-0.0596673564993031
BR002748019,-27.32,-48.56,0.0778810602690982
BR057295740,-16.25,-40.13,0.031048763216369984
