country,year,avg_tmax
AC,,
AE,,
AF,,
AG,,
AJ,,
AL,,
AM,,
AO,,
AQ,,
AR,1951,245.21246169560777
AS,,
AU,,
AY,,
BA,,
BB,,
BC,,
BD,,
BE,,
BF,,
BG,,
BH,,
BK,,
BL,,
BM,,
BN,,
BO,2024,139.27111236430284
BP,,
BR,1945,256.2564102564103
BU,,
BX,,
BY,,
CA,,
CB,,
CD,,
CE,,
CF,,
CG,,
CH,,
CI,,
CJ,,
CK,,
CM,,
CO,1958,293.87951807228916
CQ,,
CS,,
CT,,
CU,,
CV,,
CW,,
CY,,
DA,,
DO,,
DR,,
EC,1946,293.58620689655174
EG,,
EI,,
EK,,
EN,,
ER,,
ES,,
ET,,
EU,,
EZ,,
FG,,
FI,,
FJ,,
FK,,
FM,,
FP,,
FR,,
FS,,
GA,,
GB,,
GG,,
GH,,
GI,,
GL,,
GM,,
GP,,
GQ,,
GR,,
GT,,
GV,,
GY,2024,256.118320610687
HO,,
HR,,
HU,,
IC,,
ID,,
IN,,
IO,,
IR,,
IS,,
IT,,
IV,,
IZ,,
JA,,
JM,,
JN,,
JO,,
JQ,,
JU,,
KE,,
KG,,
KN,,
KR,,
KS,,
KT,,
KU,,
KZ,,
LA,,
LE,,
LG,,
LH,,
LI,,
LO,,
LQ,,
LT,,
LU,,
LY,,
MA,,
MB,,
MC,,
MD,,
MF,,
MG,,
MI,,
MJ,,
MK,,
ML,,
MO,,
MP,,
MQ,,
MR,,
MT,,
MU,,
MV,,
MX,,
MY,,
MZ,,
NC,,
NE,,
NF,,
NG,,
NH,,
NI,,
NL,,
NN,,
NO,,
NP,,
NS,,
NU,,
NZ,,
PA,,
PC,,
PE,1948,211.0
PK,,
PL,,
PM,,
PO,,
PP,,
PS,,
PU,,
QA,,
RE,,
RI,,
RM,,
RO,,
RP,,
RQ,,
RS,,
RW,,
SA,,
SB,,
SE,,
SF,,
SG,,
SH,,
SI,,
SL,,
SN,,
SP,,
ST,,
SU,,
SV,,
SW,,
SX,,
SY,,
SZ,,
TD,,
TE,,
TH,,
TI,,
TL,,
TN,,
TO,,
TS,,
TU,,
TV,,
TX,,
TZ,,
UC,,
UG,,
UK,,
UP,,
US,,
UV,,
UY,2023,250.4774193548387
UZ,,
VE,2019,247.76923076923077
VM,,
VQ,,
WA,,
WF,,
WI,,
WQ,,
WZ,,
ZA,,
ZI,,
